@relation PulsarCandidates_2022-06-24T20:17:59.807064
@attribute Profile_mean numeric
@attribute Profile_stdev numeric
@attribute Profile_skewness numeric
@attribute Profile_kurtosis numeric
@attribute DM_mean numeric
@attribute DM_stdev numeric
@attribute DM_skewness numeric
@attribute DM_kurtosis numeric
@attribute class {0,1}
@data
128.270090572,59.2147134341,0.131803201097,-0.422596698701,0.705155029297,0.102063986184,0.464228440591,0.509189412576,?%/data/testpfd/pfds/L124aapa_beam0.dat_5.31ms_Cand.pfd
137.828931537,51.3076737161,-0.0325244483642,0.0605470852715,0.741002960205,0.133979067683,0.44966861179,-0.052679284967,?%/data/testpfd/pfds/L125aapa_beam0.dat_5.31ms_Cand.pfd
159.636156951,54.9812283649,-0.328405028566,0.158676387475,0.662622146606,0.168835102804,0.442175344504,0.247180939065,?%/data/testpfd/pfds/L126aapa_beam0.dat_5.31ms_Cand.pfd
109.982187361,56.9919408525,0.251565846246,-0.201839984642,0.695208511353,0.17592990947,0.455361975284,-0.310804731278,?%/data/testpfd/pfds/L127aapa_beam0.dat_5.31ms_Cand.pfd
130.946079318,66.025722092,-0.203166566712,-0.842952716173,0.576693725586,0.123452550236,0.580008066485,0.2974670251,?%/data/testpfd/pfds/L128aapa_beam0.dat_5.31ms_Cand.pfd
114.776227556,49.9307370147,0.21587226255,0.0826431072432,0.678506088257,0.131577510023,0.104424597013,0.144112368807,?%/data/testpfd/pfds/L129aapa_beam0.dat_5.31ms_Cand.pfd
96.4524773596,59.1297550476,0.488445278488,-0.541066985694,0.675350494385,0.118485945202,-0.407703352698,-0.733173355265,?%/data/testpfd/pfds/L12aapa_beam0.dat_5.31ms_Cand.pfd
141.201389738,60.4658143617,-0.21333191844,-0.538477606086,0.613161582947,0.115488812429,-0.020619048853,-0.48131575773,?%/data/testpfd/pfds/L130aapa_beam0.dat_5.31ms_Cand.pfd
134.757025204,62.6408901427,-0.320081608633,-0.505092675464,0.635981483459,0.103500232632,-0.123791921963,-0.443058366253,?%/data/testpfd/pfds/L131aapa_beam0.dat_5.31ms_Cand.pfd
138.291582334,52.3347783316,-0.129513146128,0.378980690156,0.741737670898,0.15166475445,0.182054111663,-0.550819181419,?%/data/testpfd/pfds/L132aapa_beam0.dat_5.31ms_Cand.pfd
136.513096762,52.432495838,-0.557868959483,0.493619380067,0.686276931763,0.150668640779,0.823896902847,1.24457159456,?%/data/testpfd/pfds/L133aapa_beam0.dat_5.31ms_Cand.pfd
108.503419106,52.135001872,0.287580790383,0.277164462468,0.601427574158,0.161976786245,0.555543428798,-0.501724140409,?%/data/testpfd/pfds/L134aapa_beam0.dat_5.31ms_Cand.pfd
120.446573577,47.264866661,-0.119330420145,1.02063133282,0.601533241272,0.115500068186,-0.341352062281,0.227525373218,?%/data/testpfd/pfds/L135aapa_beam0.dat_5.31ms_Cand.pfd
119.878485382,54.0932979504,0.325034239775,0.171989732397,0.605459823608,0.178766287482,0.873082170515,0.128740968622,?%/data/testpfd/pfds/L136aapa_beam0.dat_5.31ms_Cand.pfd
149.874931226,59.1597529697,-0.192861890541,-0.6182939355,0.637070770264,0.179164383748,0.486132972302,-0.502444705281,?%/data/testpfd/pfds/L137aapa_beam0.dat_5.31ms_Cand.pfd
101.521285406,52.9493278579,0.280916339725,0.264350039883,0.7583253479,0.126403477925,-0.0942922852284,-0.281066683946,?%/data/testpfd/pfds/L138aapa_beam0.dat_5.31ms_Cand.pfd
146.860896652,61.5573395485,-0.40863090483,-0.497604711586,0.64550453186,0.134236712603,-0.206601012874,-0.4690469629,?%/data/testpfd/pfds/L139aapa_beam0.dat_5.31ms_Cand.pfd
132.253725605,65.4460527341,-0.144451217209,-0.628187746132,0.620501060486,0.121204861763,0.595503642961,-0.379763856753,?%/data/testpfd/pfds/L13aapa_beam0.dat_5.31ms_Cand.pfd
111.282695483,53.5961385933,0.0078416780847,-0.0657058923692,0.787073059082,0.18519397464,0.115217413865,-0.568538544635,?%/data/testpfd/pfds/L140aapa_beam0.dat_5.31ms_Cand.pfd
94.4694303826,67.9580014679,0.627173049208,-0.44904595884,0.772530212402,0.167513591727,0.550194719333,-0.262156738633,?%/data/testpfd/pfds/L141aapa_beam0.dat_5.31ms_Cand.pfd
139.061422935,55.2779839374,-0.0788665043421,-0.0439815285254,0.756582946777,0.161621831333,-0.101778937646,-0.142059633064,?%/data/testpfd/pfds/L142aapa_beam0.dat_5.31ms_Cand.pfd
113.313954131,47.6558152418,0.487117292079,0.805146934202,0.774352416992,0.216107367957,1.06133574786,0.750098270481,?%/data/testpfd/pfds/L143aapa_beam0.dat_5.31ms_Cand.pfd
144.78610827,52.0968961217,-0.303979549076,0.11888491889,0.608786735535,0.139014023464,0.136464932927,-0.678951795779,?%/data/testpfd/pfds/L144aapa_beam0.dat_5.31ms_Cand.pfd
131.866446777,70.6833295957,-0.194840263409,-0.950303131793,0.693922271729,0.14507552482,0.151998959772,-0.444273225365,?%/data/testpfd/pfds/L145aapa_beam0.dat_5.31ms_Cand.pfd
167.940456644,49.4935610944,-0.670163219301,1.28159186156,0.663776473999,0.128628416337,0.427180313109,-0.169299409356,?%/data/testpfd/pfds/L146aapa_beam0.dat_5.31ms_Cand.pfd
